"year","value","state","item","units","base"
1987,38.5096,"KS","Total Personal Income","Billion Dollars","Nominal"
1988,40.671325,"KS","Total Personal Income","Billion Dollars","Nominal"
1989,43.063175,"KS","Total Personal Income","Billion Dollars","Nominal"
1990,45.7451,"KS","Total Personal Income","Billion Dollars","Nominal"
1991,47.3673,"KS","Total Personal Income","Billion Dollars","Nominal"
1992,50.9131,"KS","Total Personal Income","Billion Dollars","Nominal"
1993,53.26815,"KS","Total Personal Income","Billion Dollars","Nominal"
1994,55.6842,"KS","Total Personal Income","Billion Dollars","Nominal"
1995,58.056275,"KS","Total Personal Income","Billion Dollars","Nominal"
1996,61.821025,"KS","Total Personal Income","Billion Dollars","Nominal"
1997,65.703525,"KS","Total Personal Income","Billion Dollars","Nominal"
1998,69.71115,"KS","Total Personal Income","Billion Dollars","Nominal"
1999,71.968575,"KS","Total Personal Income","Billion Dollars","Nominal"
2000,75.8708,"KS","Total Personal Income","Billion Dollars","Nominal"
2001,78.4908,"KS","Total Personal Income","Billion Dollars","Nominal"
2002,79.285375,"KS","Total Personal Income","Billion Dollars","Nominal"
2003,81.7682,"KS","Total Personal Income","Billion Dollars","Nominal"
2004,84.07695,"KS","Total Personal Income","Billion Dollars","Nominal"
2005,88.783975,"KS","Total Personal Income","Billion Dollars","Nominal"
2006,97.838925,"KS","Total Personal Income","Billion Dollars","Nominal"
2007,105.082625,"KS","Total Personal Income","Billion Dollars","Nominal"
2008,115.298325,"KS","Total Personal Income","Billion Dollars","Nominal"
2009,111.5589,"KS","Total Personal Income","Billion Dollars","Nominal"
2010,113.842975,"KS","Total Personal Income","Billion Dollars","Nominal"
2011,123.198925,"KS","Total Personal Income","Billion Dollars","Nominal"
2012,129.8497,"KS","Total Personal Income","Billion Dollars","Nominal"
2013,132.518975,"KS","Total Personal Income","Billion Dollars","Nominal"
2014,134.773875,"KS","Total Personal Income","Billion Dollars","Nominal"
2015,136.189125,"KS","Total Personal Income","Billion Dollars","Nominal"
2016,136.75355,"KS","Total Personal Income","Billion Dollars","Nominal"
2017,141.311775,"KS","Total Personal Income","Billion Dollars","Nominal"
2018,147.407425,"KS","Total Personal Income","Billion Dollars","Nominal"
2019,153.011925,"KS","Total Personal Income","Billion Dollars","Nominal"
2020,161.892375,"KS","Total Personal Income","Billion Dollars","Nominal"
2021,173.39955,"KS","Total Personal Income","Billion Dollars","Nominal"
2022,183.03365,"KS","Total Personal Income","Billion Dollars","Nominal"
2023,194.41355,"KS","Total Personal Income","Billion Dollars","Nominal"
2024,200.6512,"KS","Total Personal Income","Billion Dollars","Nominal"
1948,2.819325,"KY","Total Personal Income","Billion Dollars","Nominal"
1949,2.6795,"KY","Total Personal Income","Billion Dollars","Nominal"
1950,2.931475,"KY","Total Personal Income","Billion Dollars","Nominal"
1951,3.44545,"KY","Total Personal Income","Billion Dollars","Nominal"
1952,3.666275,"KY","Total Personal Income","Billion Dollars","Nominal"
1953,3.85265,"KY","Total Personal Income","Billion Dollars","Nominal"
1954,3.80345,"KY","Total Personal Income","Billion Dollars","Nominal"
1955,3.98095,"KY","Total Personal Income","Billion Dollars","Nominal"
1956,4.206875,"KY","Total Personal Income","Billion Dollars","Nominal"
1957,4.416075,"KY","Total Personal Income","Billion Dollars","Nominal"
1958,4.6232,"KY","Total Personal Income","Billion Dollars","Nominal"
1959,4.8626,"KY","Total Personal Income","Billion Dollars","Nominal"
1960,5.022025,"KY","Total Personal Income","Billion Dollars","Nominal"
1961,5.346,"KY","Total Personal Income","Billion Dollars","Nominal"
1962,5.677825,"KY","Total Personal Income","Billion Dollars","Nominal"
1963,5.9679,"KY","Total Personal Income","Billion Dollars","Nominal"
1964,6.22545,"KY","Total Personal Income","Billion Dollars","Nominal"
1965,6.7496,"KY","Total Personal Income","Billion Dollars","Nominal"
1966,7.3794,"KY","Total Personal Income","Billion Dollars","Nominal"
1967,7.987575,"KY","Total Personal Income","Billion Dollars","Nominal"
1968,8.731425,"KY","Total Personal Income","Billion Dollars","Nominal"
1969,9.711725,"KY","Total Personal Income","Billion Dollars","Nominal"
1970,10.534825,"KY","Total Personal Income","Billion Dollars","Nominal"
1971,11.466075,"KY","Total Personal Income","Billion Dollars","Nominal"
1972,12.67975,"KY","Total Personal Income","Billion Dollars","Nominal"
1973,14.25255,"KY","Total Personal Income","Billion Dollars","Nominal"
1974,16.052175,"KY","Total Personal Income","Billion Dollars","Nominal"
1975,17.479225,"KY","Total Personal Income","Billion Dollars","Nominal"
1976,19.54435,"KY","Total Personal Income","Billion Dollars","Nominal"
1977,21.933925,"KY","Total Personal Income","Billion Dollars","Nominal"
1978,24.444,"KY","Total Personal Income","Billion Dollars","Nominal"
1979,27.4543,"KY","Total Personal Income","Billion Dollars","Nominal"
1980,29.8795,"KY","Total Personal Income","Billion Dollars","Nominal"
1981,33.220525,"KY","Total Personal Income","Billion Dollars","Nominal"
1982,35.3871,"KY","Total Personal Income","Billion Dollars","Nominal"
1983,36.765025,"KY","Total Personal Income","Billion Dollars","Nominal"
1984,41.0242,"KY","Total Personal Income","Billion Dollars","Nominal"
1985,42.799325,"KY","Total Personal Income","Billion Dollars","Nominal"
1986,44.0021,"KY","Total Personal Income","Billion Dollars","Nominal"
1987,46.347075,"KY","Total Personal Income","Billion Dollars","Nominal"
1988,50.536875,"KY","Total Personal Income","Billion Dollars","Nominal"
1989,54.3137,"KY","Total Personal Income","Billion Dollars","Nominal"
1990,57.664575,"KY","Total Personal Income","Billion Dollars","Nominal"
1991,60.89485,"KY","Total Personal Income","Billion Dollars","Nominal"
1992,65.5084,"KY","Total Personal Income","Billion Dollars","Nominal"
1993,68.068625,"KY","Total Personal Income","Billion Dollars","Nominal"
1994,71.5325,"KY","Total Personal Income","Billion Dollars","Nominal"
1995,74.960275,"KY","Total Personal Income","Billion Dollars","Nominal"
1996,79.4825,"KY","Total Personal Income","Billion Dollars","Nominal"
1997,84.46635,"KY","Total Personal Income","Billion Dollars","Nominal"
1998,89.40305,"KY","Total Personal Income","Billion Dollars","Nominal"
1999,93.174975,"KY","Total Personal Income","Billion Dollars","Nominal"
2000,100.4751,"KY","Total Personal Income","Billion Dollars","Nominal"
2001,103.9978,"KY","Total Personal Income","Billion Dollars","Nominal"
2002,106.55185,"KY","Total Personal Income","Billion Dollars","Nominal"
2003,109.765875,"KY","Total Personal Income","Billion Dollars","Nominal"
2004,116.214075,"KY","Total Personal Income","Billion Dollars","Nominal"
2005,121.734475,"KY","Total Personal Income","Billion Dollars","Nominal"
2006,128.5841,"KY","Total Personal Income","Billion Dollars","Nominal"
2007,134.209925,"KY","Total Personal Income","Billion Dollars","Nominal"
2008,140.83765,"KY","Total Personal Income","Billion Dollars","Nominal"
2009,138.999725,"KY","Total Personal Income","Billion Dollars","Nominal"
2010,144.33555,"KY","Total Personal Income","Billion Dollars","Nominal"
2011,151.3799,"KY","Total Personal Income","Billion Dollars","Nominal"
2012,156.5649,"KY","Total Personal Income","Billion Dollars","Nominal"
2013,157.9054,"KY","Total Personal Income","Billion Dollars","Nominal"
2014,164.862125,"KY","Total Personal Income","Billion Dollars","Nominal"
2015,172.269375,"KY","Total Personal Income","Billion Dollars","Nominal"
2016,175.275575,"KY","Total Personal Income","Billion Dollars","Nominal"
2017,180.836075,"KY","Total Personal Income","Billion Dollars","Nominal"
2018,186.9311,"KY","Total Personal Income","Billion Dollars","Nominal"
2019,195.518925,"KY","Total Personal Income","Billion Dollars","Nominal"
2020,212.125425,"KY","Total Personal Income","Billion Dollars","Nominal"
2021,233.35475,"KY","Total Personal Income","Billion Dollars","Nominal"
2022,237.781325,"KY","Total Personal Income","Billion Dollars","Nominal"
2023,250.569075,"KY","Total Personal Income","Billion Dollars","Nominal"
2024,262.6939,"KY","Total Personal Income","Billion Dollars","Nominal"
1948,2.65635,"LA","Total Personal Income","Billion Dollars","Nominal"
1949,2.849775,"LA","Total Personal Income","Billion Dollars","Nominal"
1950,3.0533,"LA","Total Personal Income","Billion Dollars","Nominal"
1951,3.416725,"LA","Total Personal Income","Billion Dollars","Nominal"
1952,3.721175,"LA","Total Personal Income","Billion Dollars","Nominal"
1953,3.936975,"LA","Total Personal Income","Billion Dollars","Nominal"
1954,3.933675,"LA","Total Personal Income","Billion Dollars","Nominal"
1955,4.18165,"LA","Total Personal Income","Billion Dollars","Nominal"
1956,4.644175,"LA","Total Personal Income","Billion Dollars","Nominal"
1957,5.139775,"LA","Total Personal Income","Billion Dollars","Nominal"
1958,5.26645,"LA","Total Personal Income","Billion Dollars","Nominal"
1959,5.503375,"LA","Total Personal Income","Billion Dollars","Nominal"
1960,5.59125,"LA","Total Personal Income","Billion Dollars","Nominal"
1961,5.81855,"LA","Total Personal Income","Billion Dollars","Nominal"
1962,6.157825,"LA","Total Personal Income","Billion Dollars","Nominal"
1963,6.56365,"LA","Total Personal Income","Billion Dollars","Nominal"
1964,7.01635,"LA","Total Personal Income","Billion Dollars","Nominal"
1965,7.601825,"LA","Total Personal Income","Billion Dollars","Nominal"
1966,8.410275,"LA","Total Personal Income","Billion Dollars","Nominal"
1967,9.22525,"LA","Total Personal Income","Billion Dollars","Nominal"
1968,10.105625,"LA","Total Personal Income","Billion Dollars","Nominal"
1969,10.765875,"LA","Total Personal Income","Billion Dollars","Nominal"
1970,11.663025,"LA","Total Personal Income","Billion Dollars","Nominal"
1971,12.715225,"LA","Total Personal Income","Billion Dollars","Nominal"
1972,13.912075,"LA","Total Personal Income","Billion Dollars","Nominal"
1973,15.528475,"LA","Total Personal Income","Billion Dollars","Nominal"
1974,17.651825,"LA","Total Personal Income","Billion Dollars","Nominal"
1975,19.875175,"LA","Total Personal Income","Billion Dollars","Nominal"
1976,22.415525,"LA","Total Personal Income","Billion Dollars","Nominal"
1977,25.0314,"LA","Total Personal Income","Billion Dollars","Nominal"
1978,28.6308,"LA","Total Personal Income","Billion Dollars","Nominal"
1979,32.47505,"LA","Total Personal Income","Billion Dollars","Nominal"
1980,37.3741,"LA","Total Personal Income","Billion Dollars","Nominal"
1981,43.061075,"LA","Total Personal Income","Billion Dollars","Nominal"
1982,46.351425,"LA","Total Personal Income","Billion Dollars","Nominal"
1983,48.4262,"LA","Total Personal Income","Billion Dollars","Nominal"
1984,51.4564,"LA","Total Personal Income","Billion Dollars","Nominal"
1985,53.604875,"LA","Total Personal Income","Billion Dollars","Nominal"
1986,53.664975,"LA","Total Personal Income","Billion Dollars","Nominal"
1987,53.761175,"LA","Total Personal Income","Billion Dollars","Nominal"
1988,56.8267,"LA","Total Personal Income","Billion Dollars","Nominal"
1989,60.25595,"LA","Total Personal Income","Billion Dollars","Nominal"
1990,64.855,"LA","Total Personal Income","Billion Dollars","Nominal"
1991,68.4404,"LA","Total Personal Income","Billion Dollars","Nominal"
1992,73.201425,"LA","Total Personal Income","Billion Dollars","Nominal"
1993,76.792125,"LA","Total Personal Income","Billion Dollars","Nominal"
1994,81.8006,"LA","Total Personal Income","Billion Dollars","Nominal"
1995,85.828375,"LA","Total Personal Income","Billion Dollars","Nominal"
1996,89.603975,"LA","Total Personal Income","Billion Dollars","Nominal"
1997,94.20145,"LA","Total Personal Income","Billion Dollars","Nominal"
1998,98.863525,"LA","Total Personal Income","Billion Dollars","Nominal"
1999,101.157725,"LA","Total Personal Income","Billion Dollars","Nominal"
2000,106.9077,"LA","Total Personal Income","Billion Dollars","Nominal"
2001,114.7674,"LA","Total Personal Income","Billion Dollars","Nominal"
2002,118.194275,"LA","Total Personal Income","Billion Dollars","Nominal"
2003,122.009875,"LA","Total Personal Income","Billion Dollars","Nominal"
2004,127.386875,"LA","Total Personal Income","Billion Dollars","Nominal"
2005,137.162425,"LA","Total Personal Income","Billion Dollars","Nominal"
2006,144.68435,"LA","Total Personal Income","Billion Dollars","Nominal"
2007,158.43295,"LA","Total Personal Income","Billion Dollars","Nominal"
2008,170.008675,"LA","Total Personal Income","Billion Dollars","Nominal"
2009,165.30565,"LA","Total Personal Income","Billion Dollars","Nominal"
2010,173.00735,"LA","Total Personal Income","Billion Dollars","Nominal"
2011,178.35095,"LA","Total Personal Income","Billion Dollars","Nominal"
2012,187.1907,"LA","Total Personal Income","Billion Dollars","Nominal"
2013,189.741325,"LA","Total Personal Income","Billion Dollars","Nominal"
2014,197.7298,"LA","Total Personal Income","Billion Dollars","Nominal"
2015,198.4259,"LA","Total Personal Income","Billion Dollars","Nominal"
2016,197.41195,"LA","Total Personal Income","Billion Dollars","Nominal"
2017,203.45485,"LA","Total Personal Income","Billion Dollars","Nominal"
2018,212.32075,"LA","Total Personal Income","Billion Dollars","Nominal"
2019,219.30495,"LA","Total Personal Income","Billion Dollars","Nominal"
2020,233.2335,"LA","Total Personal Income","Billion Dollars","Nominal"
2021,254.296875,"LA","Total Personal Income","Billion Dollars","Nominal"
2022,255.687025,"LA","Total Personal Income","Billion Dollars","Nominal"
2023,269.140225,"LA","Total Personal Income","Billion Dollars","Nominal"
2024,281.125,"LA","Total Personal Income","Billion Dollars","Nominal"
1948,1.11465,"ME","Total Personal Income","Billion Dollars","Nominal"
1949,1.0964,"ME","Total Personal Income","Billion Dollars","Nominal"
1950,1.124625,"ME","Total Personal Income","Billion Dollars","Nominal"
1951,1.2459,"ME","Total Personal Income","Billion Dollars","Nominal"
1952,1.363475,"ME","Total Personal Income","Billion Dollars","Nominal"
1953,1.37385,"ME","Total Personal Income","Billion Dollars","Nominal"
1954,1.3978,"ME","Total Personal Income","Billion Dollars","Nominal"
1955,1.535875,"ME","Total Personal Income","Billion Dollars","Nominal"
1956,1.62585,"ME","Total Personal Income","Billion Dollars","Nominal"
1957,1.690775,"ME","Total Personal Income","Billion Dollars","Nominal"
1958,1.7613,"ME","Total Personal Income","Billion Dollars","Nominal"
1959,1.841,"ME","Total Personal Income","Billion Dollars","Nominal"
1960,1.9524,"ME","Total Personal Income","Billion Dollars","Nominal"
1961,1.97735,"ME","Total Personal Income","Billion Dollars","Nominal"
1962,2.0544,"ME","Total Personal Income","Billion Dollars","Nominal"
1963,2.1222,"ME","Total Personal Income","Billion Dollars","Nominal"
1964,2.292675,"ME","Total Personal Income","Billion Dollars","Nominal"
1965,2.474325,"ME","Total Personal Income","Billion Dollars","Nominal"
1966,2.629825,"ME","Total Personal Income","Billion Dollars","Nominal"
1967,2.760675,"ME","Total Personal Income","Billion Dollars","Nominal"
1968,2.940025,"ME","Total Personal Income","Billion Dollars","Nominal"
1969,3.235975,"ME","Total Personal Income","Billion Dollars","Nominal"
1970,3.55705,"ME","Total Personal Income","Billion Dollars","Nominal"
1971,3.8227,"ME","Total Personal Income","Billion Dollars","Nominal"
1972,4.1877,"ME","Total Personal Income","Billion Dollars","Nominal"
1973,4.706725,"ME","Total Personal Income","Billion Dollars","Nominal"
1974,5.22925,"ME","Total Personal Income","Billion Dollars","Nominal"
1975,5.6523,"ME","Total Personal Income","Billion Dollars","Nominal"
1976,6.44695,"ME","Total Personal Income","Billion Dollars","Nominal"
